Team;Website
Avalanche;https://www.nhl.com/avalanche
Blackhawks;https://www.nhl.com/blackhawks
Blue Jackets;https://www.nhl.com/bluejackets
Blues;https://www.nhl.com/blues
Bruins;https://www.nhl.com/bruins
Canadiens;https://www.nhl.com/canadiens
Canucks;https://www.nhl.com/canucks
Capitals;https://www.nhl.com/capitals
Coyotes;https://www.nhl.com/coyotes
Devils;https://www.nhl.com/devils
Ducks;https://www.nhl.com/ducks
Flames;https://www.nhl.com/flames
Flyers;https://www.nhl.com/flyers
Golden Knights;https://www.nhl.com/goldenknights
Hurricanes;https://www.nhl.com/hurricanes
Islanders;https://www.nhl.com/islanders
Jets;https://www.nhl.com/jets
Kings;https://www.nhl.com/kings
Lightning;https://www.nhl.com/lightning
Maple Leafs;https://www.nhl.com/mapleleafs
Oilers;https://www.nhl.com/oilers
Panthers;https://www.nhl.com/panthers
Penguins;https://www.nhl.com/penguins
Predators;https://www.nhl.com/predators
Rangers;https://www.nhl.com/rangers
Red Wings;https://www.nhl.com/redwings
Sabres;https://www.nhl.com/sabres
Senators;https://www.nhl.com/senators
Sharks;https://www.nhl.com/sharks
Stars;https://www.nhl.com/stars
Wild;https://www.nhl.com/wild
